id,brand_name,description,name_rus,CommercialTypeName4,rating_1_count,rating_2_count,rating_3_count,rating_4_count,rating_5_count,comments_published_count,photos_published_count,videos_published_count,PriceDiscounted,item_time_alive,item_count_fake_returns7,item_count_fake_returns30,item_count_fake_returns90,item_count_sales7,item_count_sales30,item_count_sales90,item_count_returns7,item_count_returns30,item_count_returns90,GmvTotal7,GmvTotal30,GmvTotal90,ExemplarAcceptedCountTotal7,ExemplarAcceptedCountTotal30,ExemplarAcceptedCountTotal90,OrderAcceptedCountTotal7,OrderAcceptedCountTotal30,OrderAcceptedCountTotal90,ExemplarReturnedCountTotal7,ExemplarReturnedCountTotal30,ExemplarReturnedCountTotal90,ExemplarReturnedValueTotal7,ExemplarReturnedValueTotal30,ExemplarReturnedValueTotal90,ItemVarietyCount,ItemAvailableCount,seller_time_alive,ItemID,SellerID
17384,,"Приветствую! Мы собираем классные системные блоки с 2018 года! Нам очень близка игровая культура и мы понимаем как не просто стоять на миде ;-)

При сборке использовались современные комплектующие! Комплектующие обязательно только новые!
Быстрые SSD M.2 и оперативная память DDR5.
В сердце системного блока стоит легендарный AMD Ryzen, а конфигуратор позволяет выбрать одну из топовых видеокарт.

Гарантия 12 месяцев.
Операционная система в комплекте.
Системный блок полностью настроен и готов к работе из коробки.","LeBefane Системный блок (AMD Ryzen 5 7500F, RAM 64 ГБ, SSD 1000 ГБ, NVIDIA GeForce RTX 4070 SUPER (12 Гб), Windows 11 Pro), белый",Настольный компьютер,,,,,,,,,1231.4521279983198,94,0,0,0,0,0,0,0,0,0,1424.003155175552,1488.8115624041327,1554.2085923126767,10.0,24.0,59.0,10.0,24.0,59.0,0.0,1.0,3.0,0.0,658.0853030907656,768.0208495776274,1.0,1.0,1010.0,8777,398
260316,Canon,"<li>Тип товара Новый</li><li><b>Тип</b> Картридж<li><b>Назначение</b> для лазерных принтеров/МФУ<li><b>Цвет</b> черный<li><b>Цвет картриджа</b> черный<li><b>Модель</b> 071H<li><b>PartNumber/Артикул Производителя</b> 5646C002<li><b>Ресурс, страниц</b> 2500<li><b>Принадлежность к группе</b> Оригинальные<li><b>Принадлежность к подгруппе</b> Тонер-картриджи<li><b>Совместимость</b> i-SENSYS LBP122dw/MF272dw/ MF275dw<li><b>Оригинальность</b> оригинальный<li><b>Повышенная ёмкость/ресурс</b> ДА<li><b>Длина упаковки (ед)</b> 0.365<li><b>Ширина упаковки (ед)</b> 0.11<li><b>Габариты упаковки (ед) ДхШхВ</b> 0.365x0.11x0.135<li><b>Высота упаковки (ед)</b> 0.135<li><b>Вес упаковки (ед)",Картридж лазерный Canon 071H 5646C002 черный (2500стр.) для Canon i-SENSYS LBP122dw/MF272dw/ MF275dw,"Картридж, чернила, тонер",,,,,,,,,961.0774302192816,49,0,0,0,0,0,0,0,0,0,1486.4335694833535,1609.9441168326314,1742.3422643701915,1010.0,3963.0,12647.0,779.0,3005.0,9651.0,18.0,102.0,277.0,1046.2842813073753,1259.7895035455124,1386.2276495276358,425.0,425.0,997.0,127929,576
10610,Devia,"Электронное перо Touch S-Pen для Samsung Galaxy Z Fold5 5G SM-F936B, SM-F946B, SM-F946B/DS, SM-F946U, SM-F946U1, SM-F946N, SM-F946W, SM-F9460. Идеально подходит для смартфона SAMSUNG GALAXY Z Fold5. <br/><br/>Высококачественный материал: <br/><br/>Изготовлен из высококачественного материала, не скользит в руках, поверхность сделана с максимальным эргономическим комфортом.","Стилус для Samsung Galaxy Z Fold5 5G/ SM-F946B, SM-F946B/DS",Стилус,,,,,,,,,844.2635795807067,48,0,0,0,1,1,1,0,0,0,1289.991915585082,1411.7560739655896,1511.2009095132182,612.0,2062.0,6447.0,586.0,1973.0,6142.0,15.0,93.0,244.0,934.1175809089916,1111.4165883868086,1201.633993865663,9.0,9.0,812.0,5341,1946
205236,GALAXY LINE,"Мультиварка GALAXY GL2643 имеет все необходимые функции для комфортного приготовления.10 программ позволят готовить без вашего контроля каши, крупы, супы, тушить овощи, готовить мясо, рагу, холодец, плов и мн. др.Мультиварка сможет разнообразить ваше меню блюдами, приготовленными на пару или в собственном соку без капли жира.Если вы придерживаетесь правильного питания или планируете сбросить вес, такая ""умная помощница"" поможет быстрее добиться нужного результата.Данная модель имеет ряд очевидных преимуществ. Функция отложенного старта до 24 часов позволит в","Мультиварка GALAXY GL2643 ( 900 Вт, 10 программ, таймер, дисплей, V чаши 5 л, антипригарное покрытие )/ для приготовления блюд","Мультиварка, скороварка",,,,,,,,,864.5023956716774,394,0,0,0,0,0,0,0,0,0,1397.6829764932938,1579.428078704953,1673.7680573940322,99.0,536.0,1667.0,93.0,482.0,1529.0,5.0,23.0,61.0,1067.9354160313464,1267.434380231827,1322.794836298462,8.0,8.0,785.0,100481,697
308655,MAUNFELD,"Чайники с ретро-термометром позволяет нагреть воду до определённой температуры, не доводя её до кипения<br/><br/>Стилизованный термометр с циферблатом отображает степень нагрева воды.<br/><br/>Простоте наполнение. Уникальная форма чайника и удобная крышка позволяют удобно наливать и сливать воду.<br/><br/>Прочная база с поворотом на 360С.<br/><br/>Для безопасного использования предусмотрено автоматическое и ручное отключение чайника.",Чайник электрический MAUNFELD MGK-625MINT. Товар уцененный,Чайник электрический,,,,,,,,,729.7570208017629,47,0,0,0,0,0,0,0,0,0,1703.608243731839,1882.5841823297328,1972.2251357901016,2867.0,15944.0,41722.0,2709.0,14949.0,39075.0,128.0,557.0,1476.0,1405.752984415081,1553.9057800415758,1643.785319704614,57.0,57.0,1767.0,151937,1575
28369,Kingston,"Универсальная карта памяти 10-го класса. Она предназначена для высокоскоростной обработки изображений и записи видео в разрешении 4К. С ней вы можете быть уверены, что кадры будут запечатлены без ошибок и графических искажений.<br/><br/>Скорость чтения - 170 МБ/с. Карта подходит для видеорегистраторов, планшетов и телефонов. В комплекте – адаптер на SD.",Карта памяти microSDXC Kingston Canvas GO Plus 256 ГБ (SDCG3/256GB),Карта памяти,,,,,,,,,810.7473036538858,1181,1,1,1,44,157,280,0,1,1,1774.6981402883414,1964.730102282241,2072.7318924503807,5308.0,32147.0,91510.0,4824.0,28841.0,80919.0,107.0,469.0,1757.0,1404.618432588735,1565.953104687591,1693.6878174048888,1.0,1.0,2129.0,14234,3484
153981,,"Дисплей Samsung E630<br/><br/>Дисплей подходит для замены поврежденного на смартфон.<br/><br/>Рекомендуем производить замену запчастей для гаджета в сервисном центре, чтобы не повредить хрупкие элементы устройства.",Дисплей Samsung E630,Корпуса для телефонов,,,,,,,,,648.1172323594025,96,0,0,0,0,0,0,0,0,0,1062.812922600788,1203.020413118107,1309.2124281610106,72.0,326.0,905.0,57.0,251.0,771.0,4.0,7.0,22.0,763.0398073291194,833.5551651839538,957.691894785637,29.0,28.0,389.0,75636,384
206982,Hi-Black,"артикул - vt-2710, Картридж Hi-Black  ML-1710D3  для Samsung ML-1510/1710/Xerox Ph3120/PE16,  , 3K, Черный (black)","2 штуки, Картридж Hi-Black ML-1710D3 для Samsung ML-1510/1710/Xerox Ph3120/PE16, , 3K, Черный (black)","Картридж, чернила, тонер",,,,,,,,,782.9597647999841,59,0,0,0,0,0,0,0,0,0,1116.5268983525682,1265.9940479597938,1403.229636873751,40.0,187.0,832.0,32.0,150.0,590.0,0.0,4.0,14.0,0.0,793.8110975377848,937.5032896306273,55.0,52.0,1468.0,101363,720
26823,JBL,"Насладитесь безупречным качеством звука и комфортом с беспроводными наушниками JBL. Новейшая технология Bluetooth позволяет наслаждаться музыкой без проводов и сложных подключений. Идеальный выбор для работы, спорта или просто отдыха.

Особенности:
- Кристально чистый звук и глубокие басы, которые погружают в музыкальный мир.
- Удобный дизайн и эргономичная посадка, обеспечивающая комфорт при длительном использовании.
- Шумоподавление для полного погружения в музыку без посторонних звуков.
- Встроенный микрофон для удобных звонков и голосового управления.
",Беспроводные наушники Live Free NC+,Наушники Bluetooth,,,,,,,,,953.7403139610584,4,0,0,0,0,0,0,0,0,0,908.236251075072,908.2243097299051,908.2441070551704,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,17.0,85.0,13489,2283
254176,Xiaomi,"Новый Mi Band 7 Pro получил 1.64-дюймовый сенсорный AMOLED дисплей с разрешением 280 x 456 пикселей. Овальная капсула. Поддерживает 117 различных режимов тренировки и получил защиту от воды 5ATM. Основные системы спутникового позиционирования: GPS, ГЛОНАСС, Galileo и QZSS. Можно отправиться на пробежку, оставив смартфон дома. Мониторинг сна, датчик сердечного ритма, измерение насыщения крови кислородом, управление камерой, уведомления о звонках и сообщениях, быстрый ответ на входящие звонки.<br/><br/>Новый дизайн<br/><br/>Xiaomi Smart Band 7 Pro сильно отличается от базовой версии и уже больше по",Умный браслет Xiaomi Mi Smart Band 7 Pro (Black) RU. Товар уцененный,Фитнес-браслет,,,,,,,,,884.0315330845282,34,0,0,0,0,0,0,0,0,0,1096.2935947974988,1275.8565120000533,1406.332070363943,12.0,76.0,278.0,11.0,70.0,262.0,0.0,1.0,4.0,0.0,767.6542494928528,902.6699503986208,1.0,1.0,1163.0,124910,3253
